N;alpha;beta;eps;expon_alpha;consensus_x;consensus_y;consensus_probabity;simulation_time;type;simulation_count
50.0;3.5;3.5;1.0;;201.79293332571936;198.6273586804073;400.0;1133.0;ONE_BETA;400.0
50.0;4.0;4.0;1.0;;199.84691205586088;198.1535144766489;400.0;1084.0;ONE_BETA;400.0
50.0;4.5;4.5;1.0;;198.7706038339168;201.0740831618044;400.0;1083.0;ONE_BETA;400.0
50.0;5.0;5.0;1.0;;199.5812407405682;200.87056216740973;400.0;1051.0;ONE_BETA;400.0
50.0;;;0.15;0.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.15;0.5;0.0;0.0;0.0;0.0;ONE_EXPON;0.0
50.0;;;0.15;0.5;0.0;0.0;0.0;0.0;ONE_EXPON;0.0
50.0;;;0.15;0.5;0.0;0.0;0.0;0.0;ONE_EXPON;0.0
50.0;;;0.15;0.5;0.0;0.0;0.0;0.0;ONE_EXPON;0.0
50.0;;;0.15;0.5;0.0;0.0;0.0;0.0;ONE_EXPON;0.0
50.0;;;0.15;1.0;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.15;1.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.15;2.0;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.15;2.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.15;3.0;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.15;3.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.15;4.0;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.15;4.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.15;5.0;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.2;0.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.2;1.0;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.2;1.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.2;2.0;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.2;2.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.2;3.0;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.2;3.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.2;4.0;0.2432023951860286;0.6044885319583059;1.0;16.0;ONE_EXPON;400.0
50.0;;;0.2;4.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.2;5.0;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.25;0.5;1.285392462136346;1.5833513543445168;3.0;28.0;ONE_EXPON;400.0
50.0;;;0.25;1.0;0.4055378276353235;0.4748908103187982;1.0;14.0;ONE_EXPON;400.0
50.0;;;0.25;1.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.25;2.0;0.9659512604254424;1.2953934173094794;3.0;29.0;ONE_EXPON;400.0
50.0;;;0.25;2.5;0.0;0.0;0.0;0.0;ONE_EXPON;400.0
50.0;;;0.25;3.0;1.1043784456501344;2.053393514036334;4.0;42.0;ONE_EXPON;400.0
50.0;;;0.25;3.5;2.292799328005751;5.124514825742094;10.0;108.0;ONE_EXPON;400.0
50.0;;;0.25;4.0;1.84511187320718;4.630818727557663;9.0;84.0;ONE_EXPON;400.0
50.0;;;0.25;4.5;2.167352096894396;6.538742680397279;13.0;120.0;ONE_EXPON;400.0
50.0;;;0.25;5.0;5.235328307887264;15.864509871447932;32.0;328.0;ONE_EXPON;400.0
50.0;;;0.3;0.5;46.106288010940766;51.56297314091012;103.0;985.0;ONE_EXPON;400.0
50.0;;;0.3;1.0;41.56413053878043;51.32664563693939;102.0;957.0;ONE_EXPON;400.0
50.0;;;0.3;1.5;25.608846622242982;34.67921154279552;69.0;619.0;ONE_EXPON;400.0
50.0;;;0.3;2.0;21.53177619529692;33.32255909305162;67.0;578.0;ONE_EXPON;400.0
50.0;;;0.3;2.5;20.77709497181244;35.93503153630263;72.0;627.0;ONE_EXPON;400.0
50.0;;;0.3;3.0;20.601734626109163;41.64359994355036;83.0;679.0;ONE_EXPON;400.0
50.0;;;0.3;3.5;18.63188527295391;40.88346556447655;83.0;645.0;ONE_EXPON;400.0
50.0;;;0.3;4.0;17.367031523247764;43.11243045830414;86.0;645.0;ONE_EXPON;400.0
50.0;;;0.3;4.5;19.057328218958773;50.71528253008989;102.0;767.0;ONE_EXPON;400.0
50.0;;;0.3;5.0;18.505261907319166;54.70338161545954;110.0;829.0;ONE_EXPON;400.0
50.0;;;0.35;0.5;140.0745944243772;154.67085466599542;308.0;2156.0;ONE_EXPON;400.0
50.0;;;0.35;1.0;129.65848467680095;159.9701500386625;320.0;2175.0;ONE_EXPON;400.0
50.0;;;0.35;1.5;97.61058693172474;134.33501019390903;270.0;1778.0;ONE_EXPON;400.0
50.0;;;0.35;2.0;81.12547713071086;124.37538086610766;248.0;1644.0;ONE_EXPON;400.0
50.0;;;0.35;2.5;66.24559204904904;113.65293971656878;229.0;1482.0;ONE_EXPON;400.0
50.0;;;0.35;3.0;60.257750267070826;117.55497077175885;234.0;1448.0;ONE_EXPON;400.0
50.0;;;0.35;3.5;50.23810566536383;107.62076577523692;216.0;1298.0;ONE_EXPON;400.0
50.0;;;0.35;4.0;38.70741818110467;93.25387008365703;186.0;1080.0;ONE_EXPON;400.0
50.0;;;0.35;4.5;41.714736428749234;109.4741814643505;219.0;1263.0;ONE_EXPON;400.0
50.0;;;0.35;5.0;39.3132207442837;115.25127053493148;229.0;1262.0;ONE_EXPON;400.0
