N;confidence;eps1;eps2;consensus_x;consensus_y;consensus_probabity;simulation_time;cluster_data;simulation_count
50.0;rectangle;0.25;0.8;219.73940784345285;219.64235622861065;440.0;3529.0;;900.0
50.0;rectangle;0.25;0.85;196.5096387546779;197.19727907849602;393.0;3166.0;;900.0
50.0;rectangle;0.25;0.9;223.0373040269089;223.21326746727496;446.0;3676.0;;900.0
50.0;rectangle;0.25;0.95;208.28624847806006;208.2365099150049;417.0;3339.0;;900.0
50.0;rectangle;0.25;1.0;198.4673593072247;197.6866152254744;395.0;3299.0;;900.0
50.0;rectangle;0.3;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.3;0.2;8.44286048917855;8.523635179113212;17.0;173.0;;900.0
50.0;rectangle;0.3;0.25;150.9690995172848;150.7610235803914;303.0;2589.0;;900.0
50.0;rectangle;0.3;0.6;398.4631139554375;397.8192302040408;796.0;4948.0;;900.0
50.0;rectangle;0.3;0.65;394.211041223076;395.0301888491525;789.0;4961.0;;900.0
50.0;rectangle;0.3;0.7;412.02777257451953;408.1760443300171;821.0;4926.0;;900.0
50.0;rectangle;0.3;0.75;402.24910413239445;404.8660977704292;808.0;5004.0;;900.0
50.0;rectangle;0.3;0.8;396.63724400932153;399.4497037842133;796.0;5055.0;;900.0
50.0;rectangle;0.3;0.85;395.67070396641446;395.11045975249675;788.0;4937.0;;900.0
50.0;rectangle;0.3;0.9;399.5656178951162;398.1147794637506;796.0;4908.0;;900.0
50.0;rectangle;0.3;0.95;393.7866477898086;395.7598341961463;791.0;4877.0;;900.0
50.0;rectangle;0.3;1.0;398.01425966577136;397.2362690874157;795.0;4846.0;;900.0
50.0;rectangle;0.35;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.35;0.2;20.186784167745863;20.088454300641686;41.0;426.0;;900.0
50.0;rectangle;0.35;0.25;199.2459137979027;198.61789269921186;396.0;3288.0;;900.0
50.0;rectangle;0.35;0.3;382.4966082950686;381.92650720942277;761.0;4937.0;;900.0
50.0;rectangle;0.35;0.6;447.88582540338507;446.96285968286014;896.0;4220.0;;900.0
50.0;rectangle;0.35;0.65;443.85277202679544;446.52084493710896;894.0;4297.0;;900.0
50.0;rectangle;0.35;0.7;447.4697153686731;448.8376900134154;894.0;4272.0;;900.0
50.0;rectangle;0.35;0.75;446.6961647004416;446.8632599731806;894.0;4169.0;;900.0
50.0;rectangle;0.35;0.8;446.1082302452297;445.22062266722503;891.0;4228.0;;900.0
50.0;rectangle;0.35;0.85;443.4250066762151;445.26546804934424;889.0;4198.0;;900.0
50.0;rectangle;0.35;0.9;442.84344652913927;444.5886006372788;890.0;4239.0;;900.0
50.0;rectangle;0.35;0.95;448.99615305202354;445.9880724351054;895.0;4205.0;;900.0
50.0;rectangle;0.35;1.0;448.7658399159291;448.48053116965497;898.0;4192.0;;900.0
50.0;rectangle;0.4;0.15;1.0916867504020038;0.9140312904892948;2.0;41.0;;900.0
50.0;rectangle;0.4;0.2;32.149018991346274;31.1157366589785;62.0;653.0;;900.0
50.0;rectangle;0.4;0.25;214.07776252570605;213.48207744813553;428.0;3603.0;;900.0
50.0;rectangle;0.4;0.3;402.0807869007559;401.43594392179745;804.0;5056.0;;900.0
50.0;rectangle;0.4;0.35;443.90897011325154;443.7010671933697;889.0;4401.0;;900.0
50.0;rectangle;0.4;0.6;448.3129873942905;449.2139257473232;900.0;3679.0;;900.0
50.0;rectangle;0.4;0.65;449.089420144951;449.210807008731;900.0;3686.0;;900.0
50.0;rectangle;0.4;0.7;450.0719487163239;447.4064541604042;900.0;3685.0;;900.0
50.0;rectangle;0.4;0.75;452.4083874066244;452.4306456490851;900.0;3685.0;;900.0
50.0;rectangle;0.4;0.8;449.12780967254963;452.66954096835474;900.0;3670.0;;900.0
50.0;rectangle;0.4;0.85;449.12106913168833;449.98981474414313;900.0;3654.0;;900.0
50.0;rectangle;0.4;0.9;448.5025510413713;451.8202443762944;900.0;3673.0;;900.0
50.0;rectangle;0.4;0.95;449.4700580724616;449.6727087422268;900.0;3667.0;;900.0
50.0;rectangle;0.4;1.0;450.47980488032135;450.6163731126875;900.0;3669.0;;900.0
50.0;rectangle;0.45;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.45;0.2;28.677949163574922;28.587238434974566;57.0;563.0;;900.0
50.0;rectangle;0.45;0.25;219.70110093775875;221.43367406267618;439.0;3517.0;;900.0
50.0;rectangle;0.45;0.3;402.45914307950017;400.8032696333869;806.0;5039.0;;900.0
50.0;rectangle;0.45;0.35;447.04794541757855;447.89153886362806;897.0;4321.0;;900.0
50.0;rectangle;0.45;0.4;450.88362994895664;450.8786260123102;900.0;3723.0;;900.0
50.0;rectangle;0.45;0.6;450.7819256413131;449.06449050374937;900.0;3558.0;;900.0
50.0;rectangle;0.45;0.65;450.61414020949184;449.9936060043443;900.0;3566.0;;900.0
50.0;rectangle;0.45;0.7;450.16791657949034;450.72099506597107;900.0;3573.0;;900.0
50.0;rectangle;0.45;0.75;450.5194244217742;450.34494292238145;900.0;3575.0;;900.0
50.0;rectangle;0.45;0.8;450.40433746006033;448.28659961069326;900.0;3558.0;;900.0
50.0;rectangle;0.45;0.85;451.1242928424445;450.0714338835069;900.0;3566.0;;900.0
50.0;rectangle;0.45;0.9;448.9969567345648;451.5895528652346;900.0;3556.0;;900.0
50.0;rectangle;0.45;0.95;449.1472640413386;450.4249534962442;900.0;3553.0;;900.0
50.0;rectangle;0.45;1.0;450.55475302288175;448.5188297683124;900.0;3553.0;;900.0
50.0;rectangle;0.5;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.5;0.2;25.2699805741477;25.456528668159123;51.0;537.0;;900.0
50.0;rectangle;0.5;0.25;218.8291032398383;221.11679819090602;437.0;3515.0;;900.0
50.0;rectangle;0.5;0.3;401.53203640929814;399.8705512939925;807.0;4994.0;;900.0
50.0;rectangle;0.5;0.35;448.6187451428169;444.17501512575694;893.0;4281.0;;900.0
50.0;rectangle;0.5;0.4;451.1589849088301;450.19333535930485;900.0;3683.0;;900.0
50.0;rectangle;0.5;0.45;448.16873041700256;447.5883718118816;900.0;3589.0;;900.0
50.0;rectangle;0.5;0.6;450.6992206593694;450.9652883914284;900.0;3150.0;;900.0
50.0;rectangle;0.5;0.65;449.3180761927057;449.5834356550184;900.0;3137.0;;900.0
50.0;rectangle;0.5;0.7;450.077904933753;449.08721059422356;900.0;3107.0;;900.0
50.0;rectangle;0.5;0.75;449.8368245087345;448.82844013724457;900.0;3069.0;;900.0
50.0;rectangle;0.5;0.8;449.0543775838235;450.59733284976227;900.0;3067.0;;900.0
50.0;rectangle;0.5;0.85;450.497401105948;447.8459100095772;900.0;3044.0;;900.0
50.0;rectangle;0.5;0.9;448.8696033363997;449.8827584823677;900.0;3044.0;;900.0
50.0;rectangle;0.5;0.95;451.08672820081875;449.6629035992628;900.0;3040.0;;900.0
50.0;rectangle;0.5;1.0;449.3880013479297;450.0186221102612;900.0;3031.0;;900.0
50.0;rectangle;0.55;0.15;0.0;0.0;0.0;0.0;;900.0
50.0;rectangle;0.55;0.2;28.342904864978525;28.463681693418405;57.0;566.0;;900.0
50.0;rectangle;0.55;0.25;211.1118894095872;213.7836256346466;425.0;3456.0;;900.0
50.0;rectangle;0.55;0.3;399.5244770760847;397.46622807754767;797.0;4858.0;;900.0
50.0;rectangle;0.55;0.35;448.0130163968614;450.41078262734595;897.0;4265.0;;900.0
50.0;rectangle;0.55;0.4;449.8895592413799;449.48349341507003;900.0;3685.0;;900.0
50.0;rectangle;0.55;0.45;448.8812319603815;449.3737360542764;900.0;3578.0;;900.0
50.0;rectangle;0.55;0.5;450.9107515690171;450.76055534609117;900.0;3212.0;;900.0
50.0;rectangle;0.55;0.6;452.09170236031963;448.5980306096519;900.0;2754.0;;900.0
50.0;rectangle;0.55;0.65;451.1672943715588;448.60443490992805;900.0;2740.0;;900.0
50.0;rectangle;0.55;0.7;447.5764641476142;450.61207584003085;900.0;2735.0;;900.0
50.0;rectangle;0.55;0.75;452.00086317302373;450.9827541204248;900.0;2726.0;;900.0
50.0;rectangle;0.55;0.8;449.9683630329663;449.733816294096;900.0;2723.0;;900.0
50.0;rectangle;0.55;0.85;451.975169819492;449.77062880811457;900.0;2719.0;;900.0
50.0;rectangle;0.55;0.9;448.8900156483386;449.7127312747478;900.0;2719.0;;900.0
