N;alpha;eps;consensus_x;consensus_y;consensus_probabity;simulation_time;simulation_count
50;4.0;0.3;3.3730039987914484;3.26890836461473;15;93;100.0
50;4.0;0.35;11.258967384464718;11.635628119086881;54;275;100.0
50;4.0;0.4;15.348286835158664;15.168863354467176;71;326;100.0
50;4.0;0.45;18.54284307056293;18.689201834015144;86;362;100.0
50;4.0;0.5;20.78764314164938;21.03000897328801;95;363;100.0
50;4.0;0.55;21.479179724595593;22.17156535423624;97;345;100.0
50;4.0;0.6;22.281204642694355;22.209822978963587;100;317;100.0
50;4.0;0.65;21.926152860492344;22.219679049532683;100;305;100.0
50;4.0;0.7;22.46505122239769;22.100910549636968;100;300;100.0
50;4.0;0.75;22.31376031725404;22.312627982855773;100;300;100.0
50;4.0;0.8;22.78291287570895;23.086369777109393;100;300;100.0
50;4.0;0.85;22.275384792588092;23.159639073730478;100;293;100.0
50;4.0;0.9;23.190109509479377;22.58249145911316;100;292;100.0
50;4.0;0.95;22.61550041047312;22.995617705304944;100;283;100.0
50;4.0;1.0;23.40070628473619;22.502939652538466;100;272;100.0
50;4.5;0.15;0;0;0;0;100.0
50;4.5;0.2;0;0;0;0;100.0
50;4.5;0.25;0.3304271696834734;0.3496026968828523;2;12;100.0
50;4.5;0.3;4.122520708522648;3.9635780672530054;21;122;100.0
50;4.5;0.35;6.745035575099978;7.3779741486683665;36;177;100.0
50;4.5;0.4;13.084172044381093;13.197081564370123;68;305;100.0
50;4.5;0.45;17.58772106675587;17.557063286067198;89;359;100.0
50;4.5;0.5;19.34158658813737;18.616010657194977;95;353;100.0
50;4.5;0.55;19.930802058998864;19.6585227802704;98;324;100.0
50;4.5;0.6;20.351294717832907;19.95155418713761;99;308;100.0
50;4.5;0.65;20.760055126526083;20.88383451573723;100;302;100.0
50;4.5;0.7;20.706435359557155;20.622691851701145;100;300;100.0
50;4.5;0.75;20.37991680893476;20.559865470073184;100;298;100.0
50;4.5;0.8;20.54097815530707;21.791038876242297;100;298;100.0
50;4.5;0.85;20.981133795011015;20.669737990914268;100;295;100.0
50;4.5;0.9;20.73124384870465;20.673082517802925;100;284;100.0
50;4.5;0.95;21.00781449875354;20.891990970070214;100;275;100.0
50;4.5;1.0;21.184376567685053;21.355235494230467;100;259;100.0
50;5.0;0.15;0;0;0;0;100.0
50;5.0;0.2;0;0;0;0;100.0
50;5.0;0.25;1.4141002471642308;1.4011398997255735;8;53;100.0
50;5.0;0.3;3.6953877523671617;3.9237281127245547;22;112;100.0
50;5.0;0.35;7.008754803992548;6.993184494589771;40;186;100.0
50;5.0;0.4;12.138189900429465;12.646238246419566;70;294;100.0
50;5.0;0.45;16.10701831511089;15.82019577471642;88;332;100.0
50;5.0;0.5;17.534068689743474;17.83740801749695;96;354;100.0
50;5.0;0.55;17.370852563257614;17.73372865721578;95;314;100.0
50;5.0;0.6;17.964874773584445;18.540068293914512;99;303;100.0
50;5.0;0.65;18.567351565439914;18.810790221850976;100;301;100.0
50;5.0;0.7;18.642239175308383;18.848399827908704;100;298;100.0
50;5.0;0.75;18.769646741096818;18.9474640193945;100;298;100.0
50;5.0;0.8;18.915940359624745;19.43332216606101;100;293;100.0
50;5.0;0.85;19.72037267027327;19.3919349624707;100;284;100.0
50;5.0;0.9;19.3092756394811;19.23641782736872;100;272;100.0
50;5.0;0.95;18.86302896879907;19.249349442407606;100;264;100.0
50;5.0;1.0;19.59506982631085;19.072786961809577;100;239;100.0
